satellite,date[UT],time[UT],SatLon[deg],SatLat[deg],SatAlt[km],SatAzimuth[deg],SatElevation[deg],SatRA[hr],SatDEC[deg],SunRA[hr],SunDEC[deg],SunZenithAngle[deg],SatAngularSpeed[arcsecs/sec]
ONEWEB-0152,2021-05-07,23:11:30s,-61.974565,-19.955800,1217.69,42.610,33.012,11h56m12.247s,015:55:49.336,3.0098315,17.0830076,105.057,0622.454
ONEWEB-0152,2021-05-07,23:12:30s,-62.085888,-23.246104,1218.80,54.323,40.554,12h05m26.981s,004:04:44.464,3.0098765,17.0831961,105.271,0835.872
ONEWEB-0152,2021-05-07,23:13:30s,-62.190233,-26.534354,1219.98,72.283,47.157,12h18m13.827s,-10:06:56.122,3.0099215,17.0833846,105.485,1148.167
ONEWEB-0152,2021-05-07,23:14:30s,-62.286027,-29.820375,1221.22,96.446,49.858,12h36m10.720s,-25:46:27.183,3.0099664,17.0835731,105.699,1458.757
ONEWEB-0152,2021-05-07,23:15:30s,-62.371385,-33.104010,1222.50,120.302,46.837,13h01m59.878s,-41:00:6.333,3.0100114,17.0837615,105.913,1442.843
ONEWEB-0152,2021-05-07,23:16:30s,-62.444012,-36.385120,1223.81,137.741,40.141,13h40m3.010s,-53:51:36.068,3.0100564,17.0839500,106.127,1120.831
ONEWEB-0152,2021-05-07,23:17:30s,-62.501067,-39.663584,1225.14,149.056,32.658,14h36m12.675s,-63:14:53.443,3.0101014,17.0841385,106.342,0813.901
ONEWEB-0116,2021-05-07,23:43:30s,-70.140309,-16.352545,1216.45,02.544,31.181,10h13m30.412s,029:38:34.280,3.0112710,17.0890380,111.939,0467.780
ONEWEB-0116,2021-05-07,23:44:30s,-70.257668,-19.644852,1217.47,02.674,41.251,10h13m4.668s,019:34:14.639,3.0113159,17.0892264,112.155,0604.244
ONEWEB-0116,2021-05-07,23:45:30s,-70.369505,-22.935326,1218.57,03.026,54.514,10h12m40.124s,006:18:17.669,3.0113609,17.0894149,112.372,0796.056
ONEWEB-0116,2021-05-07,23:46:30s,-70.474497,-26.223770,1219.73,04.343,71.593,10h12m15.051s,-10:47:2.004,3.0114059,17.0896033,112.588,1027.768
ONEWEB-0116,2021-05-07,23:47:30s,-70.571094,-29.510008,1220.96,151.277,88.205,10h11m46.584s,-30:43:10.965,3.0114509,17.0897917,112.804,8872.189
ONEWEB-0116,2021-05-07,23:48:30s,-70.657442,-32.793881,1222.23,179.007,68.807,10h11m8.751s,-50:20:35.702,3.0114959,17.0899801,113.021,2030.520
ONEWEB-0116,2021-05-07,23:49:30s,-70.731291,-36.075252,1223.53,180.009,52.384,10h10m4.936s,-66:46:31.648,3.0115409,17.0901685,113.237,0987.151
ONEWEB-0116,2021-05-07,23:50:30s,-70.789855,-39.353998,1224.84,180.265,39.742,10h07m19.923s,-79:25:23.448,3.0115858,17.0903569,113.453,0758.701
ONEWEB-0116,2021-05-07,23:51:30s,-70.829626,-42.630013,1226.16,180.318,30.131,09h19m11.665s,-89:01:2.425,3.0116308,17.0905453,113.670,0576.646
ONEWEB-0101,2021-05-07,23:16:30s,-63.127351,-19.985548,1220.72,38.493,35.039,11h44m46.039s,016:18:22.002,3.0100564,17.0839500,106.127,0631.676
ONEWEB-0101,2021-05-07,23:17:30s,-63.238696,-23.273824,1221.85,50.157,43.520,11h53m16.588s,004:04:29.988,3.0101014,17.0841385,106.342,0865.252
ONEWEB-0101,2021-05-07,23:18:30s,-63.343062,-26.560032,1223.05,69.405,51.223,12h05m12.224s,-10:45:22.801,3.0101464,17.0843270,106.556,1243.931
ONEWEB-0101,2021-05-07,23:19:30s,-63.438874,-29.843998,1224.30,97.061,54.315,12h22m16.624s,-27:14:1.466,3.0101914,17.0845154,106.771,1669.705
ONEWEB-0101,2021-05-07,23:20:30s,-63.524247,-33.125565,1225.60,123.838,50.368,12h47m32.192s,-43:13:7.552,3.0102363,17.0847039,106.985,1623.977
ONEWEB-0101,2021-05-07,23:21:30s,-63.596890,-36.404596,1226.93,141.791,42.428,13h26m21.747s,-56:34:59.173,3.0102813,17.0848924,107.200,1177.836
ONEWEB-0101,2021-05-07,23:22:30s,-63.653961,-39.680971,1228.28,152.621,34.071,14h27m7.657s,-66:11:10.296,3.0103263,17.0850808,107.414,0820.782
ONEWEB-0156,2021-05-07,22:56:30s,-58.067373,-22.452489,1220.43,62.167,30.252,12h37m20.094s,006:11:54.506,3.0091568,17.0801800,101.858,0681.497
ONEWEB-0156,2021-05-07,22:57:30s,-58.173410,-25.739935,1221.60,75.528,34.630,12h50m18.226s,-05:30:52.049,3.0092018,17.0803686,102.071,0843.622
